property_image,property_address,detail,description
https://example.com/property_images/2539.jpg,Clean & quiet apt home by the park,New,A cozy 2-bedroom house with a spacious backyard.
https://example.com/property_images/2595.jpg,Skylit Midtown Castle,Used,A charming 3-bedroom cottage with a beautiful garden.
https://example.com/property_images/3647.jpg,THE VILLAGE OF HARLEM....NEW YORK !,New,A modern apartment with stunning city views.
https://example.com/property_images/3831.jpg,Cozy Entire Floor of Brownstone,Used,A well-maintained 4-bedroom family home in a quiet neighborhood.
https://example.com/property_images/5022.jpg,Entire Apt: Spacious Studio/Loft by central park,New,A stylish studio/loft apartment with all amenities.
https://example.com/property_images/5099.jpg,Large Cozy 1 BR Apartment In Midtown East,Used,A spacious 1-bedroom apartment in the heart of Midtown East.
https://example.com/property_images/5121.jpg,BlissArtsSpace!,New,A cozy private room in an artsy house.
https://example.com/property_images/5178.jpg,Large Furnished Room Near B'way,New,A comfortable private room near Broadway.
https://example.com/property_images/5203.jpg,Cozy Clean Guest Room - Family Apt,Used,A cozy and clean guest room in a family apartment.
https://example.com/property_images/5238.jpg,Cute & Cozy Lower East Side 1 bdrm,New,A lovely 1-bedroom apartment in Lower East Side.
https://example.com/property_images/5295.jpg,Beautiful 1br on Upper West Side,Used,A beautiful 1-bedroom apartment with a view of Upper West Side.
https://example.com/property_images/5441.jpg,Central Manhattan/near Broadway,New,A private room with easy access to Broadway and central Manhattan.
https://example.com/property_images/5803.jpg,Lovely Room 1, Garden, Best Area, Legal rental,New,A lovely private room with garden access.
https://example.com/property_images/6021.jpg,Wonderful Guest Bedroom in Manhattan for SINGLES,Used,A cozy guest bedroom in Manhattan for singles.
https://example.com/property_images/6090.jpg,West Village Nest - Superhost,New,A cozy apartment in the West Village hosted by a superhost.
https://example.com/property_images/6848.jpg,Only 2 stops to Manhattan studio,Used,A studio apartment just 2 stops away from Manhattan.
https://example.com/property_images/7097.jpg,Perfect for Your Parents + Garden,New,A spacious apartment with a garden, perfect for families.
https://example.com/property_images/7322.jpg,Chelsea Perfect,Used,A perfect private room in Chelsea for solo travelers.
https://example.com/property_images/7726.jpg,Hip Historic Brownstone Apartment with Backyard,New,A historic brownstone apartment with a backyard.
https://example.com/property_images/7750.jpg,Huge 2 BR Upper East Cental Park,Used,A huge 2-bedroom apartment near Central Park.
https://example.com/property_images/7801.jpg,Sweet and Spacious Brooklyn Loft,New,A sweet and spacious loft apartment in Brooklyn.
https://example.com/property_images/8024.jpg,CBG CtyBGd HelpsHaiti rm#1:1-4,Used,A room in a historic building that helps Haiti.
https://example.com/property_images/8025.jpg,CBG Helps Haiti Room#2.5,New,A cozy room in a historic building with a mission to help Haiti.
https://example.com/property_images/8110.jpg,CBG Helps Haiti Rm #2,New,A private room in a historic building that supports Haiti.
https://example.com/property_images/8490.jpg,MAISON DES SIRENES1, bohemian apartment,New,A bohemian apartment called Maison Des Sirenes1.
https://example.com/property_images/8505.jpg,Sunny Bedroom Across Prospect Park,Used,A sunny bedroom across Prospect Park in a friendly neighborhood.
https://example.com/property_images/8700.jpg,Magnifique Suite au N de Manhattan - vue Cloitres,New,A magnificent suite with a view of the Cloisters.
https://example.com/property_images/9357.jpg,Midtown Pied-a-terre,Used,A cozy pied-a-terre in Midtown with all amenities.
https://example.com/property_images/9518.jpg,SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM,New,A spacious and lovely furnished bedroom in Manhattan.
https://example.com/property_images/9657.jpg,Modern 1 BR / NYC / EAST VILLAGE,Used,A modern 1-bedroom apartment in the vibrant East Village.
https://example.com/property_images/9668.jpg,front room/double bed,New,A comfortable front room with a double bed in Harlem.
https://example.com/property_images/9704.jpg,Spacious 1 bedroom in luxe building,Used,A spacious 1-bedroom apartment in a luxurious building.
https://example.com/property_images/9782.jpg,Loft in Williamsburg Area w/ Roof,New,A loft apartment in Williamsburg with access to a roof.
https://example.com/property_images/9783.jpg,back room/bunk beds,New,A cozy back room with bunk beds in Harlem.
https://example.com/property_images/10452.jpg,Large B&B Style rooms
